name,verbatim_name,verbatimLocality,decimalLatitude,decimalLongitude,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,year,month,day,InstitutionID,InstitutionCode,geodeticDatum,continent,country,countryCode,locationID
Lycopodium selago L.,Lycopodium selago L.,Antarctichamna,72.0185393852121,-23.0546141666577,date1,1930-08-11T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:85825d27f75df541a7a07cb6380a046a,HumanObservation,presence,1930,8,11,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Kapp Petersen,72.4168450055533,-24.5718994042612,date1,1930-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:b9a51addc27b26e3bcea3f7a065568ee,HumanObservation,presence,1930,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Holmvika,72.5078737819493,-24.0006877034132,date1,1929-08-11T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:1af8bc2d715b82a27c8647e96ec642a9,HumanObservation,presence,1929,8,11,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Veganeset,72.8348822643402,-23.1666758557105,date1,1929-08-07T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:a347ff50a4bba6ca4960039dd660de56,HumanObservation,presence,1929,8,7,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Gasøya,72.7994532662258,-22.9244892461657,date1,1929-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:733c4aeb97332c7310f3f6aff751344d,HumanObservation,presence,1929,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date1,1929-08-08T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:3a4b48a06faa934523c7f2caad89f506,HumanObservation,presence,1929,8,8,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date2,1929-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:ad378972e566601745779ef6dba2a575,HumanObservation,presence,1929,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date3,1929-08-10T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:48b44ffb2d37fc1b899b2d2529d286f5,HumanObservation,presence,1929,8,10,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date4,1930-08-15T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:59e43281924278b23b9c447748ef8903,HumanObservation,presence,1930,8,15,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,5 kilometres west of Husbukt,72.8616330771541,-23.0874352624784,date1,1930-08-16T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:11d168d74408da29f4705b341db56d3a,HumanObservation,presence,1930,8,16,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
