no,no,occurrenceID,institutionID,institutionCode,basisOfRecord,occurrenceStatus,eventDate,year,month,day,locationID,continent,island,country,countryCode,verbatimLocality,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,originalNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet, infraspecificEpithet,taxonRank,locationRemarks,taxonomicRemarks
68,068,urn:0681ex55xmbd,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Cardamine pratensis var. angustifolia Hook.,Cardamine pratensis L. var. angustifolia Hook.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,pratensis,angustifolia,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
9,009,urn:009jwgt3b7c6,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1883-08-10,1883,8,10,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Deschampsia cespitosa subsp. cespitosa,Aira caespitosa L. var. brevifolia (M. B.) Hartm.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Deschampsia,caespitosa,caespitosa,SUBSPECIES,Observed by Nathorst ,Accepted name in accourdance with https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1#synonyms
78,078,urn:078d1fxzrj3d,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Saxifraga stellaris var. comosa Poir.,Saxifraga stellaris L. var. comosa Poir.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,stellaris,comosa,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
38,038,urn:038skm5zlltb,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Luzula arcuata (Wahlenb.) Sw.,Luzula arcuata (Wahlenb.) Sw. var. confusa Lindeb.,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Luzula,arcuata,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
41,041,urn:041tqgtquj6r,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Salix arctica var. groenlandica Andersson,Salix arctica R. Br. var. groenlandica (Anderss.) Lundstr.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,arctica,groenlandica,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
51,051,urn:051ujh7oryrv,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Arenaria ciliata var. humifusa (Wahlenb.) Hartm.,Arenaria ciliata L. var. humifusa (Wahlenb.) Hartm.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria,ciliata,humifusa,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
88,088,urn:088heu3wksf0,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Potentilla nivea L.,Potentilla nivea L. sens latiss.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,nivea,latiss.,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
96,096,urn:0961gmuy9um3,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Myrtillus uliginosa var. microphylla (Lange) Simmons,Myrtillus uliginosa (L.) Drej. var. microphylla Lange.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,uliginosa,microphylla,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
5,005,urn:005pb5jjymwc,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Calamagrostis arundinacea var. purpurascens (R.Br.) Porsild,Calamagrostis arundinacea (L.) Roth. var. purpurascens (R. Br.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,arundinacea,purpurascens,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
14,014,urn:014osimvwuw7,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,"Glyceria maritima Mert. & W.D.J.Koch, 1823","Glyceria maritima (Huds.) Wahlenb, var. reptans (Hartm.) Simm.",Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Glyceria,maritima,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
